"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","dataset","epochs","learning_rate","num_clauses","pretrain","hierarchy_name","seed","epoch","train_acc","train_loss","trainer/global_step","val_acc","val_loss","loss","test_acc","test_auc"
"dsprites mlp fixed 45","finished","-","navr414","","2023-04-30T13:14:56.000Z","88","","mlp","dsprites","10","0.005","","false","shapley","45","9","0.3984000086784363","1.5188103914260864","789","0.390666663646698","1.5175566673278809","1.9835715293884275","0.4000000059604645",""
"dsprites mlp fixed 44","finished","-","navr414","","2023-04-30T13:14:29.000Z","16","","mlp","dsprites","10","0.005","","false","shapley","44","9","0.41760000586509705","1.5097345113754272","789","0.41466665267944336","1.510692834854126","1.9203567504882812","0.42266666889190674",""
"dsprites mlp fixed 43","finished","-","navr414","","2023-04-30T13:13:59.000Z","19","","mlp","dsprites","10","0.005","","false","shapley","43","9","0.3964000046253204","1.5615953207015991","789","0.3880000114440918","1.5634949207305908","1.9858369827270508","0.3933333456516266",""
"dsprites mlp 45","finished","-","navr414","","2023-04-30T13:13:27.000Z","19","","mlp","dsprites","10","0.1","","false","shapley","45","9","0.20000000298023224","2.1890673637390137","789","0.20000000298023224","2.1732265949249268","2.243574619293213","0.20000000298023224",""
"dsprites mlp 44","finished","-","navr414","","2023-04-30T13:12:57.000Z","18","","mlp","dsprites","10","0.1","","false","shapley","44","9","0.20000000298023224","2.1897125244140625","789","0.20000000298023224","2.173854351043701","2.243893623352051","0.20000000298023224",""
"dsprites mlp 43","finished","-","navr414","","2023-04-30T13:12:18.000Z","27","","mlp","dsprites","10","0.1","","false","shapley","43","9","0.20000000298023224","2.191067695617676","789","0.20000000298023224","2.1751604080200195","2.244875907897949","0.20000000298023224",""
"chexpert mlp fixed 45","finished","-","navr414","","2023-04-30T10:24:09.000Z","29","","mlp","chexpert","10","0.05","","false","shapley","45","9","0.8355000019073486","0.3600896894931793","1249","0.8899999856948853","0.2854432761669159","0.13284020125865936","0.8379999995231628","0.8105775138992737"
"chexpert mlp fixed 44","finished","-","navr414","","2023-04-30T10:23:27.000Z","26","","mlp","chexpert","10","0.1","","false","shapley","44","9","0.8345000147819519","0.36084815859794617","1249","0.8889999985694885","0.28594517707824707","0.13349248468875885","0.8399999737739563","0.8101703447612137"
"chexpert mlp fixed 43","finished","-","navr414","","2023-04-30T10:22:50.000Z","21","","mlp","chexpert","10","0.05","","false","shapley","43","9","0.8349999785423279","0.360802948474884","1249","0.890999972820282","0.28605741262435913","0.1326470673084259","0.8399999737739563","0.810873636908772"
"chexpert mlp 45","finished","-","navr414","","2023-04-30T10:21:47.000Z","21","","mlp","chexpert","10","0.05","","false","shapley","45","9","0.8379999995231628","0.3602546751499176","1249","0.8899999856948853","0.28534409403800964","0.13261093199253082","0.8379999995231628","0.8109254584354342"
"chexpert mlp 44","finished","-","navr414","","2023-04-30T10:20:42.000Z","42","","mlp","chexpert","10","0.05","","false","shapley","44","9","0.8362500071525574","0.3608890175819397","1249","0.8830000162124634","0.2862246334552765","0.13283072412014008","0.8429999947547913","0.8109920861125711"
"chexpert mlp 43","finished","-","navr414","","2023-04-30T10:20:06.000Z","20","","mlp","chexpert","10","0.05","","false","shapley","43","9","0.8355000019073486","0.3610636293888092","1249","0.8830000162124634","0.2858269214630127","0.13295899331569672","0.8429999947547913","0.8109032492097217"
"cub gnn simple labels 45","finished","-","navr414","","2023-04-28T11:09:39.000Z","22","","gnn_basic","cub","10","0.05","","true","labels","45","","0.9282735586166382","0.225141704082489","","0.6585977077484131","1.6275297403335571","0.38210296630859375","0.6601656675338745",""
"cub gnn simple cem 45","finished","-","navr414","","2023-04-28T11:07:21.000Z","31","","gnn_basic","cub","10","0.1","","true","cem","45","","0.9361968040466307","0.18602705001831055","","0.6861435770988464","1.7070488929748535","0.21621179580688477","0.6793234348297119",""
"cub gnn simple shapley 45","finished","-","navr414","","2023-04-28T11:04:59.000Z","21","","gnn_basic","cub","10","0.1","","true","shapley","45","","0.9376564025878906","0.18983449041843417","","0.6769616007804871","1.6549323797225952","0.11047960817813872","0.6770797371864319",""
"cub gnn simple labels 44","finished","-","navr414","","2023-04-28T11:02:55.000Z","20","","gnn_basic","cub","10","0.1","","true","labels","44","","0.9364053606987","0.18977656960487368","","0.6727880239486694","1.672153115272522","0.30615362524986267","0.6763893365859985",""
"cub gnn simple cem 44","finished","-","navr414","","2023-04-28T11:00:44.000Z","31","","gnn_basic","cub","10","0.1","","true","cem","44","","0.934737265110016","0.19259652495384216","","0.6727880239486694","1.6722412109375","0.0871729850769043","0.6784604787826538",""
"cub gnn simple shapley 44","finished","-","navr414","","2023-04-28T10:58:30.000Z","20","","gnn_basic","cub","10","0.1","","true","shapley","44","","0.9336947202682496","0.19571933150291443","","0.6828047037124634","1.675132393836975","0.18749766051769257","0.6746634244918823",""
"cub gnn simple labels 43","finished","-","navr414","","2023-04-28T10:56:30.000Z","19","","gnn_basic","cub","10","0.1","","true","labels","43","","0.934737265110016","0.188757985830307","","0.6811352372169495","1.6530214548110962","0.17449668049812317","0.6741456985473633",""
"cub gnn simple cem 43","finished","-","navr414","","2023-04-28T10:54:26.000Z","25","","gnn_basic","cub","10","0.1","","true","cem","43","","0.9345287680625916","0.19384458661079407","","0.6794657707214355","1.601569414138794","0.5709167122840881","0.6775975227355957",""
"cub gnn simple shapley 43","finished","-","navr414","","2023-04-28T10:52:12.000Z","21","","gnn_basic","cub","10","0.1","","true","shapley","43","","0.9370308518409728","0.18938444554805756","","0.6803004741668701","1.6198786497116089","0.179389625787735","0.6770797371864319",""
"cub gnn no pretrain labels 45","finished","-","navr414","","2023-04-28T10:49:55.000Z","36","","gnn","cub","10","0.001","","false","labels","45","","0.9530858993530272","0.14135834574699402","","0.6844741106033325","1.62531316280365","0.2576015591621399","0.6808767318725586",""
"cub gnn no pretrain cem 45","finished","-","navr414","","2023-04-28T10:48:42.000Z","30","","gnn","cub","10","0.001","","false","cem","45","","0.9226438999176024","0.2535025477409363","","0.6444073915481567","1.6696513891220093","0.29840660095214844","0.6427338719367981",""
"cub gnn no pretrain shapley 45","finished","-","navr414","","2023-04-28T10:47:35.000Z","32","","gnn","cub","10","0.01","","false","shapley","45","","0.9295246005058287","0.19253601133823395","","0.6577629446983337","2.0151712894439697","0.22552821040153503","0.6515361070632935",""
"cub gnn no pretrain labels 44","finished","-","navr414","","2023-04-28T10:46:21.000Z","36","","gnn","cub","10","0.001","","false","labels","44","","0.9516263604164124","0.13896358013153076","","0.6828047037124634","1.6831650733947754","0.30350133776664734","0.6755263805389404",""
"cub gnn no pretrain cem 44","finished","-","navr414","","2023-04-28T10:45:08.000Z","30","","gnn","cub","10","0.001","","false","cem","44","","0.9234778881072998","0.24072545766830444","","0.6711184978485107","1.689686894416809","0.2005108892917633","0.6513634920120239",""
"cub gnn no pretrain shapley 44","finished","-","navr414","","2023-04-28T10:44:02.000Z","32","","gnn","cub","10","0.001","","false","shapley","44","","0.928065061569214","0.20175226032733917","","0.6619365811347961","1.7526280879974363","0.255827933549881","0.6548153162002563",""
"cub gnn no pretrain labels 43","finished","-","navr414","","2023-04-28T10:42:48.000Z","36","","gnn","cub","10","0.001","","false","labels","43","","0.9560049772262572","0.13682299852371216","","0.6761268973350525","1.7390782833099363","0.33472681045532227","0.67569899559021",""
"cub gnn no pretrain cem 43","finished","-","navr414","","2023-04-28T10:41:36.000Z","29","","gnn","cub","10","0.001","","false","cem","43","","0.9168056845664978","0.2645310163497925","","0.6585977077484131","1.647125482559204","0.24114231765270233","0.6446323394775391",""
"cub gnn no pretrain shapley 43","finished","-","navr414","","2023-04-28T10:40:29.000Z","32","","gnn","cub","10","0.001","","false","shapley","43","","0.9322351813316344","0.20188310742378235","","0.6652754545211792","1.692376971244812","0.20484712719917297","0.6539523601531982",""
"cub gnn labels 45","finished","-","navr414","","2023-04-28T10:39:14.000Z","36","","gnn","cub","10","0.001","","true","labels","45","","0.9526689052581788","0.14585094153881073","","0.6636060476303101","1.9798744916915896","0.37436819076538086","0.6532620191574097",""
"cub gnn cem 45","finished","-","navr414","","2023-04-28T10:36:48.000Z","29","","gnn","cub","10","0.001","","true","cem","45","","0.9111759662628174","0.27971315383911133","","0.6469115018844604","1.8165770769119265","0.29461321234703064","0.6325509548187256",""
"cub gnn shapley 45","finished","-","navr414","","2023-04-28T10:34:19.000Z","31","","gnn","cub","10","0.001","","true","shapley","45","","0.9168056845664978","0.2456182986497879","","0.6460767984390259","1.8781182765960691","0.20719988644123075","0.6349672079086304",""
"cub gnn labels 44","finished","-","navr414","","2023-04-28T10:31:49.000Z","36","","gnn","cub","10","0.0005","","true","labels","44","","0.9378648996353148","0.1987409740686417","","0.6535893678665161","1.716617226600647","0.28473594784736633","0.6577494144439697",""
"cub gnn cem 44","finished","-","navr414","","2023-04-28T10:29:21.000Z","29","","gnn","cub","10","0.001","","true","cem","44","","0.8915762901306152","0.3334484398365021","","0.6135225296020508","1.90638267993927","0.1353161484003067","0.6166723966598511",""
"cub gnn shapley 44","finished","-","navr414","","2023-04-28T10:26:53.000Z","32","","gnn","cub","10","0.001","","true","shapley","44","","0.9145120978355408","0.25117868185043335","","0.6410684585571289","1.9685534238815308","0.19843293726444244","0.6289265155792236",""
"cub gnn labels 43","finished","-","navr414","","2023-04-28T10:24:22.000Z","36","","gnn","cub","10","0.001","","true","labels","43","","0.949958324432373","0.14989934861660004","","0.6652754545211792","1.8976762294769287","0.10406829416751862","0.6551605463027954",""
"cub gnn cem 43","finished","-","navr414","","2023-04-28T10:21:56.000Z","29","","gnn","cub","10","0.001","","true","cem","43","","0.9038782119750975","0.30512532591819763","","0.6202003359794617","1.939922332763672","0.5331515073776245","0.6240938901901245",""
"cub gnn shapley 43","finished","-","navr414","","2023-04-28T10:19:07.000Z","50","","gnn","cub","10","0.001","","true","shapley","43","","0.9168056845664978","0.2468024045228958","","0.6410684585571289","1.9074944257736208","0.27236276865005493","0.6372109055519104",""
"cub mlp fixed 45","finished","-","navr414","","2023-04-27T21:11:39.000Z","21","","mlp","cub","10","0.01","","false","shapley","45","9","0.946205198764801","0.14791883528232574","1499","0.6769616007804871","1.7804081439971924","0.04847064986824989","0.68018639087677",""
"cub mlp fixed 44","finished","-","navr414","","2023-04-27T21:10:56.000Z","24","","mlp","cub","10","0.01","","false","shapley","44","9","0.9447456002235411","0.1504577100276947","1499","0.6702837944030762","1.820518970489502","0.0659307911992073","0.6841560006141663",""
"cub mlp fixed 43","finished","-","navr414","","2023-04-27T21:10:12.000Z","24","","mlp","cub","10","0.01","","false","shapley","43","9","0.9455796480178832","0.14746643602848053","1499","0.6727879643440247","1.836841106414795","0.08202183991670609","0.68018639087677",""
"cub mlp 45","finished","-","navr414","","2023-04-27T21:09:28.000Z","24","","mlp","cub","10","0.01","","false","shapley","45","9","0.9372393488883972","0.17250919342041016","1499","0.673622727394104","1.7207359075546265","0.09316496551036836","0.6793234348297119",""
"cub mlp 44","finished","-","navr414","","2023-04-27T21:08:43.000Z","23","","mlp","cub","10","0.01","","false","shapley","44","9","0.9403669834136964","0.16803856194019318","1499","0.678631067276001","1.7056115865707395","0.09231109172105788","0.6822575330734253",""
"cub mlp 43","finished","-","navr414","","2023-04-27T21:07:36.000Z","45","","mlp","cub","10","0.01","","false","shapley","43","9","0.9364053606987","0.17286811769008636","1499","0.6744574308395386","1.7428592443466189","0.07634101063013077","0.6784604787826538",""